"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"1","NewYork","New York",8405837,8175133,"0.0282",3026,27012,"40.6643¡N 73.9385¡W",406643,-739385
"2","LosAngeles","California",3884307,3792621,"0.0242",4687,8092,"34.0194¡N 118.4108¡W",340194,-1184108
"3","Chicago","Illinois",2718782,2695598,"0.0086",2276,11842,"41.8376¡N 87.6818¡W",418376,-876818
"4","Houston","Texas",2195914,2100263,"0.0455",5996,3501,"29.7805¡N 95.3863¡W",297805,-953863
"5","Philadelphia","Pennsylvania",1553165,1526006,"0.0178",1341,11379,"40.0094¡N 75.1333¡W",400094,-751333
"6","Phoenix","Arizona",1513367,1445632,"0.0469",5167,2798,"33.5722¡N 112.0880¡W",335722,-1120880
"7","SanAntonio","Texas",1409019,1327407,"0.0615",4609,2880,"29.4724¡N 98.5251¡W",294724,-985251
"8","SanDiego","California",1355896,1307402,"0.0371",3252,4020,"32.8153¡N 117.1350¡W",328153,-1171350
"9","Dallas","Texas",1257676,1197816,"0.05",3405,3518,"32.7757¡N 96.7967¡W",327757,-967967
"10","SanJose","California",998537,945942,"0.0556",1765,5359,"37.2969¡N 121.8193¡W",372969,-1218193
"11","Austin","Texas",885400,790390,"0.1202",2979,2653,"30.3072¡N 97.7560¡W",303072,-977560
"12","Indianapolis","Indiana",843393,820445,"0.028",3614,2270,"39.7767¡N 86.1459¡W",397767,-861459
"13","Jacksonville","Florida",842583,821784,"0.0253",7470,1120,"30.3370¡N 81.6613¡W",303370,-816613
"14","SanFrancisco","California",837442,805235,"0.04",469,17179,"37.7751¡N 122.4193¡W",377751,-1224193
"15","Columbus","Ohio",822553,787033,"0.0451",2172,3624,"39.9848¡N 82.9850¡W",399848,-829850
"16","Charlotte","North Carolina",792862,731424,"0.084",2977,2457,"35.2087¡N 80.8307¡W",352087,-808307
"17","FortWorth","Texas",792727,741206,"0.0695",3398,2181,"32.7795¡N 97.3463¡W",327795,-973463
"18","Detroit","Michigan",688701,713777,"-0.0351",1388,5144,"42.3830¡N 83.1022¡W",423830,-831022
"19","ElPaso","Texas",674433,649121,"0.039",2552,2543,"31.8484¡N 106.4270¡W",318484,-1064270
"20","Memphis","Tennessee",653450,646889,"0.0101",3151,2053,"35.1035¡N 89.9785¡W",351035,-899785
