2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
1,New York[6],New York,8405837,8175133,0.0282,302.6æsqæmi,"27,012æperæsqæmi",40.6643ÁN 73.9385ÁW
2,Los Angeles,California,3884307,3792621,0.0242,468.7æsqæmi,"8,092æperæsqæmi",34.0194ÁN 118.4108ÁW
3,Chicago,Illinois,2718782,2695598,0.0086,227.6æsqæmi,"11,842æperæsqæmi",41.8376ÁN 87.6818ÁW
4,Houston[7],Texas,2195914,2100263,0.0455,599.6æsqæmi,"3,501æperæsqæmi",29.7805ÁN 95.3863ÁW
5,Philadelphia[8],Pennsylvania,1553165,1526006,0.0178,134.1æsqæmi,"11,379æperæsqæmi",40.0094ÁN 75.1333ÁW
6,Phoenix,Arizona,1513367,1445632,0.0469,516.7æsqæmi,"2,798æperæsqæmi",33.5722ÁN 112.0880ÁW
7,San Antonio,Texas,1409019,1327407,0.0615,460.9æsqæmi,"2,880æperæsqæmi",29.4724ÁN 98.5251ÁW
8,San Diego,California,1355896,1307402,0.0371,325.2æsqæmi,"4,020æperæsqæmi",32.8153ÁN 117.1350ÁW
9,Dallas,Texas,1257676,1197816,0.05,340.5æsqæmi,"3,518æperæsqæmi",32.7757ÁN 96.7967ÁW
10,San Jose,California,998537,945942,0.0556,176.5æsqæmi,"5,359æperæsqæmi",37.2969ÁN 121.8193ÁW
11,Austin,Texas,885400,790390,0.1202,297.9æsqæmi,"2,653æperæsqæmi",30.3072ÁN 97.7560ÁW
12,Indianapolis[9],Indiana,843393,820445,0.028,361.4æsqæmi,"2,270æperæsqæmi",39.7767ÁN 86.1459ÁW
13,Jacksonville[10],Florida,842583,821784,0.0253,747.0æsqæmi,"1,120æperæsqæmi",30.3370ÁN 81.6613ÁW
14,San Francisco[11],California,837442,805235,0.04,46.9æsqæmi,"17,179æperæsqæmi",37.7751ÁN 122.4193ÁW
15,Columbus,Ohio,822553,787033,0.0451,217.2æsqæmi,"3,624æperæsqæmi",39.9848ÁN 82.9850ÁW
16,Charlotte,North Carolina,792862,731424,0.084,297.7æsqæmi,"2,457æperæsqæmi",35.2087ÁN 80.8307ÁW
17,Fort Worth,Texas,792727,741206,0.0695,339.8æsqæmi,"2,181æperæsqæmi",32.7795ÁN 97.3463ÁW
18,Detroit,Michigan,688701,713777,-0.0351,138.8æsqæmi,"5,144æperæsqæmi",42.3830ÁN 83.1022ÁW
19,El Paso,Texas,674433,649121,0.039,255.2æsqæmi,"2,543æperæsqæmi",31.8484ÁN 106.4270ÁW
20,Memphis,Tennessee,653450,646889,0.0101,315.1æsqæmi,"2,053æperæsqæmi",35.1035ÁN 89.9785ÁW
21,Seattle,Washington,652405,608660,0.0719,83.9æsqæmi,"7,251æperæsqæmi",47.6205ÁN 122.3509ÁW
22,Denver[12],Colorado,649495,600158,0.0822,153.0æsqæmi,"3,923æperæsqæmi",39.7618ÁN 104.8806ÁW
23,Washington[13],District of Columbia,646449,601723,0.0743,61.0æsqæmi,"9,856æperæsqæmi",38.9041ÁN 77.0171ÁW
24,Boston,Massachusetts,645966,617594,0.0459,48.3æsqæmi,"12,793æperæsqæmi",42.3320ÁN 71.0202ÁW
25,Nashville[14],Tennessee,634464,601222,0.0553,475.1æsqæmi,"1,265æperæsqæmi",36.1718ÁN 86.7850ÁW
26,Baltimore[15],Maryland,622104,620961,0.0018,80.9æsqæmi,"7,672æperæsqæmi",39.3002ÁN 76.6105ÁW
27,Oklahoma City,Oklahoma,610613,579999,0.0528,606.4æsqæmi,956æperæsqæmi,35.4671ÁN 97.5137ÁW
28,Louisville[16],Kentucky,609893,597337,0.021,325.2æsqæmi,"1,837æperæsqæmi",38.1781ÁN 85.6667ÁW
29,Portland,Oregon,609456,583776,0.044,133.4æsqæmi,"4,375æperæsqæmi",45.5370ÁN 122.6500ÁW
30,Las Vegas,Nevada,603488,583756,0.0338,135.8æsqæmi,"4,298æperæsqæmi",36.2277ÁN 115.2640ÁW
31,Milwaukee,Wisconsin,599164,594833,0.0073,96.1æsqæmi,"6,188æperæsqæmi",43.0633ÁN 87.9667ÁW
32,Albuquerque,New Mexico,556495,545852,0.0195,187.7æsqæmi,"2,908æperæsqæmi",35.1056ÁN 106.6474ÁW
33,Tucson,Arizona,526116,520116,0.0115,226.7æsqæmi,"2,294æperæsqæmi",32.1543ÁN 110.8711ÁW
34,Fresno,California,509924,494665,0.0308,112.0æsqæmi,"4,418æperæsqæmi",36.7827ÁN 119.7945ÁW
35,Sacramento,California,479686,466488,0.0283,97.9æsqæmi,"4,764æperæsqæmi",38.5666ÁN 121.4686ÁW
36,Long Beach,California,469428,462257,0.0155,50.3æsqæmi,"9,191æperæsqæmi",33.8091ÁN 118.1553ÁW
37,Kansas City,Missouri,467007,459787,0.0157,315.0æsqæmi,"1,460æperæsqæmi",39.1252ÁN 94.5511ÁW
38,Mesa,Arizona,457587,439041,0.0422,136.5æsqæmi,"3,218æperæsqæmi",33.4019ÁN 111.7174ÁW
39,Virginia Beach[15],Virginia,448479,437994,0.0239,249.0æsqæmi,"1,759æperæsqæmi",36.7793ÁN 76.0240ÁW
40,Atlanta,Georgia,447841,420003,0.0663,133.2æsqæmi,"3,154æperæsqæmi",33.7629ÁN 84.4227ÁW
41,Colorado Springs,Colorado,439886,416427,0.0563,194.5æsqæmi,"2,141æperæsqæmi",38.8673ÁN 104.7607ÁW
42,Omaha,Nebraska,434353,408958,0.0621,127.1æsqæmi,"3,218æperæsqæmi",41.2647ÁN 96.0419ÁW
43,Raleigh,North Carolina,431746,403892,0.069,142.9æsqæmi,"2,826æperæsqæmi",35.8302ÁN 78.6414ÁW
44,Miami,Florida,417650,399457,0.0455,35.9æsqæmi,"11,539æperæsqæmi",25.7752ÁN 80.2086ÁW
45,Oakland,California,406253,390724,0.0397,55.8æsqæmi,"7,004æperæsqæmi",37.7699ÁN 122.2256ÁW
46,Minneapolis,Minnesota,400070,382578,0.0457,54.0æsqæmi,"7,088æperæsqæmi",44.9633ÁN 93.2683ÁW
47,Tulsa,Oklahoma,398121,391906,0.0159,196.8æsqæmi,"1,992æperæsqæmi",36.1279ÁN 95.9023ÁW
48,Cleveland,Ohio,390113,396815,-0.0169,77.7æsqæmi,"5,107æperæsqæmi",41.4781ÁN 81.6795ÁW
49,Wichita,Kansas,386552,382368,0.0109,159.3æsqæmi,"2,400æperæsqæmi",37.6907ÁN 97.3427ÁW
50,Arlington,Texas,379577,365438,0.0387,95.9æsqæmi,"3,811æperæsqæmi",32.7007ÁN 97.1247ÁW
51,New Orleans[17],Louisiana,378715,343829,0.1015,169.4æsqæmi,"2,029æperæsqæmi",30.0686ÁN 89.9390ÁW
52,Bakersfield,California,363630,347483,0.0465,142.2æsqæmi,"2,444æperæsqæmi",35.3212ÁN 119.0183ÁW
53,Tampa,Florida,352957,335709,0.0514,113.4æsqæmi,"3,077æperæsqæmi",27.9701ÁN 82.4797ÁW
54,Honolulu[2],Hawai'i,347884,337256,0.0315,60.5æsqæmi,"5,573æperæsqæmi",21.3259ÁN 157.8453ÁW
55,Aurora,Colorado,345803,325078,0.0638,154.1æsqæmi,"2,110æperæsqæmi",39.7082ÁN 104.8235ÁW
56,Anaheim,California,345012,336265,0.026,49.8æsqæmi,"6,748æperæsqæmi",33.8555ÁN 117.7601ÁW
57,Santa Ana,California,334227,324528,0.0299,27.3æsqæmi,"11,901æperæsqæmi",33.7365ÁN 117.8826ÁW
58,St. Louis[15],Missouri,318416,319294,-0.0027,61.9æsqæmi,"5,157æperæsqæmi",38.6357ÁN 90.2446ÁW
59,Riverside,California,316619,303871,0.042,81.1æsqæmi,"3,745æperæsqæmi",33.9381ÁN 117.3932ÁW
60,Corpus Christi,Texas,316381,305215,0.0366,160.6æsqæmi,"1,900æperæsqæmi",27.7543ÁN 97.1734ÁW
61,Lexington[18],Kentucky,308428,295803,0.0427,283.6æsqæmi,"1,043æperæsqæmi",38.0402ÁN 84.4584ÁW
62,Pittsburgh,Pennsylvania,305841,305704,0.0004,55.4æsqæmi,"5,521æperæsqæmi",40.4398ÁN 79.9766ÁW
63,Anchorage[19],Alaska,300950,291826,0.0313,"1,704.7æsqæmi",171æperæsqæmi,61.2176ÁN 149.8953ÁW
64,Stockton,California,298118,291707,0.022,61.7æsqæmi,"4,730æperæsqæmi",37.9763ÁN 121.3133ÁW
65,Cincinnati,Ohio,297517,296943,0.0019,77.9æsqæmi,"3,810æperæsqæmi",39.1399ÁN 84.5064ÁW
66,Saint Paul,Minnesota,294873,285068,0.0344,52.0æsqæmi,"5,484æperæsqæmi",44.9489ÁN 93.1039ÁW
67,Toledo,Ohio,282313,287208,-0.017,80.7æsqæmi,"3,559æperæsqæmi",41.6641ÁN 83.5819ÁW
68,Greensboro,North Carolina,279639,269666,0.037,126.5æsqæmi,"2,131æperæsqæmi",36.0965ÁN 79.8271ÁW
69,Newark,New Jersey,278427,277140,0.0046,24.2æsqæmi,"11,458æperæsqæmi",40.7242ÁN 74.1726ÁW
70,Plano,Texas,274409,259841,0.0561,71.6æsqæmi,"3,630æperæsqæmi",33.0508ÁN 96.7479ÁW
71,Henderson,Nevada,270811,257729,0.0508,107.7æsqæmi,"2,392æperæsqæmi",36.0122ÁN 115.0375ÁW
72,Lincoln,Nebraska,268738,258379,0.0401,89.1æsqæmi,"2,899æperæsqæmi",40.8090ÁN 96.6804ÁW
73,Buffalo,New York,258959,261310,-0.009,40.4æsqæmi,"6,471æperæsqæmi",42.8925ÁN 78.8597ÁW
74,Jersey City,New Jersey,257342,247597,0.0394,14.8æsqæmi,"16,737æperæsqæmi",40.7114ÁN 74.0648ÁW
75,Chula Vista,California,256780,243916,0.0527,49.6æsqæmi,"4,915æperæsqæmi",32.6277ÁN 117.0152ÁW
76,Fort Wayne,Indiana,256496,253691,0.0111,110.6æsqæmi,"2,293æperæsqæmi",41.0882ÁN 85.1439ÁW
77,Orlando,Florida,255483,238300,0.0721,102.4æsqæmi,"2,327æperæsqæmi",28.4159ÁN 81.2988ÁW
78,St. Petersburg,Florida,249688,244769,0.0201,61.7æsqæmi,"3,964æperæsqæmi",27.7620ÁN 82.6441ÁW
79,Chandler,Arizona,249146,236123,0.0552,64.4æsqæmi,"3,666æperæsqæmi",33.2829ÁN 111.8549ÁW
80,Laredo,Texas,248142,236091,0.051,88.9æsqæmi,"2,655æperæsqæmi",27.5477ÁN 99.4869ÁW
81,Norfolk[15],Virginia,246139,242803,0.0137,54.1æsqæmi,"4,486æperæsqæmi",36.9230ÁN 76.2446ÁW
82,Durham,North Carolina,245475,228330,0.0751,107.4æsqæmi,"2,127æperæsqæmi",35.9810ÁN 78.9056ÁW
83,Madison,Wisconsin,243344,233209,0.0435,76.8æsqæmi,"3,037æperæsqæmi",43.0878ÁN 89.4301ÁW
84,Lubbock,Texas,239538,229573,0.0434,122.4æsqæmi,"1,875æperæsqæmi",33.5665ÁN 101.8867ÁW
85,Irvine,California,236716,212375,0.1146,66.1æsqæmi,"3,213æperæsqæmi",33.6784ÁN 117.7713ÁW
86,Winston_Salem,North Carolina,236441,229617,0.0297,132.4æsqæmi,"1,734æperæsqæmi",36.1033ÁN 80.2606ÁW
87,Glendale,Arizona,234632,226721,0.0349,60.0æsqæmi,"3,780æperæsqæmi",33.5331ÁN 112.1899ÁW
88,Garland,Texas,234566,226876,0.0339,57.1æsqæmi,"3,974æperæsqæmi",32.9098ÁN 96.6304ÁW
89,Hialeah,Florida,233394,224669,0.0388,21.5æsqæmi,"10,474æperæsqæmi",25.8699ÁN 80.3029ÁW
90,Reno,Nevada,233294,225221,0.0358,103.0æsqæmi,"2,186æperæsqæmi",39.4745ÁN 119.7765ÁW
91,Chesapeake[15],Virginia,230571,222209,0.0376,340.8æsqæmi,652æperæsqæmi,36.6794ÁN 76.3018ÁW
92,Gilbert[20],Arizona,229972,208453,0.1032,68.0æsqæmi,"3,067æperæsqæmi",33.3102ÁN 111.7422ÁW
93,Baton Rouge[21],Louisiana,229426,229493,-0.0003,76.9æsqæmi,"2,982æperæsqæmi",30.4485ÁN 91.1259ÁW
94,Irving,Texas,228653,216290,0.0572,67.0æsqæmi,"3,227æperæsqæmi",32.8577ÁN 96.9700ÁW
95,Scottsdale,Arizona,226918,217385,0.0439,183.9æsqæmi,"1,182æperæsqæmi",33.6687ÁN 111.8237ÁW
96,North Las Vegas,Nevada,226877,216961,0.0457,101.3æsqæmi,"2,141æperæsqæmi",36.2830ÁN 115.0893ÁW
97,Fremont,California,224922,214089,0.0506,77.5æsqæmi,"2,764æperæsqæmi",37.4944ÁN 121.9411ÁW
98,Boise[22],Idaho,214237,205671,0.0416,79.4æsqæmi,"2,592æperæsqæmi",43.5985ÁN 116.2311ÁW
99,Richmond[15],Virginia,214114,204214,0.0485,59.8æsqæmi,"3,415æperæsqæmi",37.5314ÁN 77.4760ÁW
100,San Bernardino,California,213708,209924,0.018,59.2æsqæmi,"3,546æperæsqæmi",34.1393ÁN 117.2953ÁW
101,Birmingham,Alabama,212113,212237,-0.0006,146.1æsqæmi,"1,453æperæsqæmi",33.5274ÁN 86.7990ÁW
102,Spokane,Washington,210721,208916,0.0086,59.2æsqæmi,"3,526æperæsqæmi",47.6736ÁN 117.4166ÁW
103,Rochester,New York,210358,210565,-0.001,35.8æsqæmi,"5,885æperæsqæmi",43.1699ÁN 77.6169ÁW
104,Des Moines,Iowa,207510,203433,0.02,80.9æsqæmi,"2,516æperæsqæmi",41.5739ÁN 93.6167ÁW
105,Modesto,California,204933,201165,0.0187,36.9æsqæmi,"5,456æperæsqæmi",37.6609ÁN 120.9891ÁW
106,Fayetteville,North Carolina,204408,200564,0.0192,145.8æsqæmi,"1,375æperæsqæmi",35.0851ÁN 78.9803ÁW
107,Tacoma,Washington,203446,198397,0.0254,49.7æsqæmi,"3,990æperæsqæmi",47.2522ÁN 122.4598ÁW
108,Oxnard,California,203007,197899,0.0258,26.9æsqæmi,"7,358æperæsqæmi",34.2023ÁN 119.2046ÁW
109,Fontana,California,203003,196069,0.0354,42.4æsqæmi,"4,621æperæsqæmi",34.1088ÁN 117.4627ÁW
110,Columbus[23],Georgia,202824,189885,0.0681,216.4æsqæmi,878æperæsqæmi,32.5102ÁN 84.8749ÁW
111,Montgomery,Alabama,201332,205764,-0.0215,159.6æsqæmi,"1,290æperæsqæmi",32.3463ÁN 86.2686ÁW
