"City","State","Change","lat","lon"
"New York","New York",0.0282,40.6643,-73.9385
"Los Angeles","California",0.0242,34.0194,-118.4108
"Chicago","Illinois",0.0086,41.8376,-87.6818
"Houston","Texas",0.0455,29.7805,-95.3863
"Philadelphia","Pennsylvania",0.0178,40.0094,-75.1333
"Phoenix","Arizona",0.0469,33.5722,-112.088
"San Antonio","Texas",0.0615,29.4724,-98.5251
"San Diego","California",0.0371,32.8153,-117.135
"Dallas","Texas",0.05,32.7757,-96.7967
"San Jose","California",0.0556,37.2969,-121.8193
"Austin","Texas",0.1202,30.3072,-97.756
"Indianapolis","Indiana",0.028,39.7767,-86.1459
"Jacksonville","Florida",0.0253,30.337,-81.6613
"San Francisco","California",0.04,37.7751,-122.4193
"Columbus","Ohio",0.0451,39.9848,-82.985
"Charlotte","North Carolina",0.084,35.2087,-80.8307
"Fort Worth","Texas",0.0695,32.7795,-97.3463
"Detroit","Michigan",-0.0351,42.383,-83.1022
"El Paso","Texas",0.039,31.8484,-106.427
"Memphis","Tennessee",0.0101,35.1035,-89.9785
"Seattle","Washington",0.0719,47.6205,-122.3509
"Denver","Colorado",0.0822,39.7618,-104.8806
"Washington","District of Columbia",0.0743,38.9041,-77.0171
"Boston","Massachusetts",0.0459,42.332,-71.0202
"Nashville","Tennessee",0.0553,36.1718,-86.785
"Baltimore","Maryland",0.0018,39.3002,-76.6105
"Oklahoma City","Oklahoma",0.0528,35.4671,-97.5137
"Louisville","Kentucky",0.021,38.1781,-85.6667
"Portland","Oregon",0.044,45.537,-122.65
"Las Vegas","Nevada",0.0338,36.2277,-115.264
"Milwaukee","Wisconsin",0.0073,43.0633,-87.9667
"Albuquerque","New Mexico",0.0195,35.1056,-106.6474
"Tucson","Arizona",0.0115,32.1543,-110.8711
"Fresno","California",0.0308,36.7827,-119.7945
"Sacramento","California",0.0283,38.5666,-121.4686
"Long Beach","California",0.0155,33.8091,-118.1553
"Kansas City","Missouri",0.0157,39.1252,-94.5511
"Mesa","Arizona",0.0422,33.4019,-111.7174
"Virginia Beach","Virginia",0.0239,36.7793,-76.024
"Atlanta","Georgia",0.0663,33.7629,-84.4227
"Colorado Springs","Colorado",0.0563,38.8673,-104.7607
"Omaha","Nebraska",0.0621,41.2647,-96.0419
