"City","State","X2013.estimate","lat","lon"
"New York","New York",8405837,40.6643,-73.9385
"Los Angeles","California",3884307,34.0194,-118.4108
"Chicago","Illinois",2718782,41.8376,-87.6818
"Houston","Texas",2195914,29.7805,-95.3863
"Philadelphia","Pennsylvania",1553165,40.0094,-75.1333
"Phoenix","Arizona",1513367,33.5722,-112.088
"San Antonio","Texas",1409019,29.4724,-98.5251
"San Diego","California",1355896,32.8153,-117.135
"Dallas","Texas",1257676,32.7757,-96.7967
"San Jose","California",998537,37.2969,-121.8193
"Austin","Texas",885400,30.3072,-97.756
"Indianapolis","Indiana",843393,39.7767,-86.1459
"Jacksonville","Florida",842583,30.337,-81.6613
"San Francisco","California",837442,37.7751,-122.4193
"Columbus","Ohio",822553,39.9848,-82.985
"Charlotte","North Carolina",792862,35.2087,-80.8307
"Fort Worth","Texas",792727,32.7795,-97.3463
"Detroit","Michigan",688701,42.383,-83.1022
"El Paso","Texas",674433,31.8484,-106.427
"Memphis","Tennessee",653450,35.1035,-89.9785
"Seattle","Washington",652405,47.6205,-122.3509
"Denver","Colorado",649495,39.7618,-104.8806
"Washington","District of Columbia",646449,38.9041,-77.0171
"Boston","Massachusetts",645966,42.332,-71.0202
"Nashville","Tennessee",634464,36.1718,-86.785
"Baltimore","Maryland",622104,39.3002,-76.6105
"Oklahoma City","Oklahoma",610613,35.4671,-97.5137
"Louisville","Kentucky",609893,38.1781,-85.6667
"Portland","Oregon",609456,45.537,-122.65
"Las Vegas","Nevada",603488,36.2277,-115.264
"Milwaukee","Wisconsin",599164,43.0633,-87.9667
"Albuquerque","New Mexico",556495,35.1056,-106.6474
"Tucson","Arizona",526116,32.1543,-110.8711
"Fresno","California",509924,36.7827,-119.7945
"Sacramento","California",479686,38.5666,-121.4686
"Long Beach","California",469428,33.8091,-118.1553
"Kansas City","Missouri",467007,39.1252,-94.5511
"Mesa","Arizona",457587,33.4019,-111.7174
"Virginia Beach","Virginia",448479,36.7793,-76.024
"Atlanta","Georgia",447841,33.7629,-84.4227
"Colorado Springs","Colorado",439886,38.8673,-104.7607
"Omaha","Nebraska",434353,41.2647,-96.0419
"Raleigh","North Carolina",431746,35.8302,-78.6414
"Miami","Florida",417650,25.7752,-80.2086
"Oakland","California",406253,37.7699,-122.2256
"Minneapolis","Minnesota",400070,44.9633,-93.2683
"Tulsa","Oklahoma",398121,36.1279,-95.9023
"Cleveland","Ohio",390113,41.4781,-81.6795
"Wichita","Kansas",386552,37.6907,-97.3427
"Arlington","Texas",379577,32.7007,-97.1247
"New Orleans","Louisiana",378715,30.0686,-89.939
"Bakersfield","California",363630,35.3212,-119.0183
"Tampa","Florida",352957,27.9701,-82.4797
"Honolulu","Hawai'i",347884,21.3259,-157.8453
"Aurora","Colorado",345803,39.7082,-104.8235
"Anaheim","California",345012,33.8555,-117.7601
"Santa Ana","California",334227,33.7365,-117.8826
"St Louis","Missouri",318416,38.6357,-90.2446
"Riverside","California",316619,33.9381,-117.3932
"Corpus Christi","Texas",316381,27.7543,-97.1734
"Lexington","Kentucky",308428,38.0402,-84.4584
"Pittsburgh","Pennsylvania",305841,40.4398,-79.9766
"Anchorage","Alaska",300950,61.2176,-149.8953
"Stockton","California",298118,37.9763,-121.3133
"Cincinnati","Ohio",297517,39.1399,-84.5064
"Saint Paul","Minnesota",294873,44.9489,-93.1039
"Toledo","Ohio",282313,41.6641,-83.5819
"Greensboro","North Carolina",279639,36.0965,-79.8271
"Newark","New Jersey",278427,40.7242,-74.1726
"Plano","Texas",274409,33.0508,-96.7479
"Henderson","Nevada",270811,36.0122,-115.0375
"Lincoln","Nebraska",268738,40.809,-96.6804
"Buffalo","New York",258959,42.8925,-78.8597
"Jersey City","New Jersey",257342,40.7114,-74.0648
"Chula Vista","California",256780,32.6277,-117.0152
"Fort Wayne","Indiana",256496,41.0882,-85.1439
"Orlando","Florida",255483,28.4159,-81.2988
"St Petersburg","Florida",249688,27.762,-82.6441
"Chandler","Arizona",249146,33.2829,-111.8549
